spec	spec_p
dexchlorpheniramine	-3.50097497728918	NA
mepivacaine	-4.46541562205039	NA
tinidazole	-3.78522963241169	NA
ketoconazole	-4.98560857706658	NA
latanoprost	-5.48512635983497	NA
flucytosine	-3.51259444421198	NA
lansoprazole	-9.78893769801293	NA
levocetirizine	1.08150424098867	0.493866579728582
rifaximin	-5.90136804879888	NA
selegiline	3.25350018272608	0.493866579728582
miglitol	-11.2532259701716	NA
pilocarpine	-2.31585323213395	NA
tolterodine	-7.30700414428718	NA
zafirlukast	2.48946435209827	0.493866579728582
nateglinide	-6.69025308115911	NA
tolbutamide	6.75636164085945	0.493866579728582
phentolamine	-0.185977985284385	NA
isotretinoin	-1.83973035255785	NA
acitretin	-1.59138920526395	NA
erlotinib	-5.55356835039912	NA
lopinavir	-9.60955467427894	NA
bosutinib	-12.7921392315998	NA
pazopanib	-3.15561046975346	NA
sunitinib	-8.32602006188374	NA
everolimus	-0.940806921978641	NA
aprepitant	-6.92240065866007	NA
iloperidone	1.92283517669314	0.493866579728582
elvitegravir	-14.9534084924364	NA
rivaroxaban	-3.52320668538205	NA
tenofovir	1.01939172509593	0.493866579728582
ziprasidone	-2.55969713891637	NA
ruxolitinib	0.595573144941987	0.493866579728582
gefitinib	-7.0331161392882	NA
cinacalcet	-3.14280348303109	NA
carteolol	-3.00652626482726	NA
isocarboxazid	-1.43619858163455	NA
entecavir	7.37942195702028	0.493866579728582
nafcillin	-2.93488193696768	NA
pirfenidone	-0.594853037573259	NA
norepinephrine	4.60220793348786	0.493866579728582
fosinopril	-3.22565270049489	NA
nevirapine	-10.8594210152328	NA
eprosartan	-3.19135013699576	NA
azacitidine	-4.47951050851548	NA
chloramphenicol	-15.6534799757765	NA
mefloquine	-17.4189788961229	NA
acetylcholine	-9.0169276211382	NA
mupirocin	-1.1543415947997	NA
ofloxacin	-0.943841144250608	NA
terbutaline	0.885149861582739	0.493866579728582
iobenguane	-2.58771789416221	NA
amoxicillin	-7.68126809187259	NA
ampicillin	0.775259952551619	0.493866579728582
phenytoin	0.620088566349649	0.493866579728582
hydroflumethiazide	4.5524645006633	0.493866579728582
dopamine	1.90182755131104	0.493866579728582
methazolamide	3.25132351780918	0.493866579728582
propantheline	-7.73138442229727	NA
tizanidine	-1.72261680496441	NA
ritonavir	-2.19766084023632	NA
bosentan	-1.31086931951869	NA
acebutolol	1.52142633326132	0.493866579728582
cefoxitin	1.1113375017346	0.493866579728582
dapsone	-0.764903002533998	NA
doxazosin	-4.3742566885025	NA
doxycycline	-10.5437112594035	NA
edrophonium	7.68655212767283	0.493866579728582
piperacillin	-8.14114896135512	NA
pyrazinamide	-1.49864358643811	NA
tetracycline	-8.46303406580657	NA
metformin	-1.07067310783603	NA
ganciclovir	-12.3904036881066	NA
oxybutynin	-9.1435500453011	NA
timolol	0.97010950389967	0.493866579728582
sulindac	-1.09551195144527	NA
entacapone	3.29332049197573	0.493866579728582
acamprosate	-4.26572478622703	NA
captopril	-1.63017786365538	NA
cyclophosphamide	-3.03353657244002	NA
bethanechol	-10.152991586139	NA
aspirin	0.305172410364778	0.493866579728582
chlorhexidine	-30.0642719830059	NA
ciprofloxacin	3.28802229929937	0.493866579728582
colchicine	-9.56021085116422	NA
idoxuridine	-11.9468321886975	NA
kanamycin	-11.7643453805935	NA
lincomycin	5.92611610324884	0.493866579728582
metaraminol	-6.67740728400632	NA
miconazole	-16.5612971046927	NA
sulfacetamide	1.99966916127483	0.493866579728582
cyclopentolate	-1.00309591434728	NA
asenapine	-19.3854904258745	NA
aztreonam	-26.1639188022307	NA
busulfan	-13.172319071874	NA
didanosine	-15.2748731966599	NA
ethosuximide	-7.7237471382866	NA
hydrochlorothiazide	-18.4947026139825	NA
lisinopril	-12.2079878164373	NA
methyldopa	-12.6321776402817	NA
minocycline	-50.5671897043374	NA
sulfamethoxazole	-10.6673153850062	NA
mercaptopurine	-9.01437711363311	NA
bimatoprost	-7.96603526838257	NA
cefuroxime	-2.37627290006224	NA
melphalan	-8.09417679144495	NA
pentamidine	-19.6127566650878	NA
butenafine	-13.5241731257971	NA
ciclopirox	-13.4029794721478	NA
emedastine	1.88272983610876	0.493866579728582
hydroxychloroquine	7.37000698323343	0.493866579728582
iohexol	-2.14595984808036	NA
isosorbide	-4.67897715663282	NA
mepenzolate	-5.68054456462135	NA
vigabatrin	4.31763130281009	0.493866579728582
levobunolol	11.4321885204203	0.493866579728582
acetylcysteine	0.0370876964091664	0.493866579728582
trifluridine	-6.0769196071504	NA
bacitracin	5.34932229395662	0.493866579728582
bretylium	1.56492524444083	0.493866579728582
carbachol	11.896459210881	0.493866579728582
cefepime	12.1552020654973	0.493866579728582
darifenacin	-3.83068257988753	NA
dorzolamide	4.01835356067328	0.493866579728582
esmolol	1.82631761227641	0.493866579728582
gabapentin	1.51008126550817	0.493866579728582
ifosfamide	-10.8088389041043	NA
iodixanol	3.81471982628829	0.493866579728582
iopamidol	8.74640137868875	0.493866579728582
iopromide	4.43636918635284	0.493866579728582
ioversol	-12.1418450724052	NA
levalbuterol	8.20178168456824	0.493866579728582
mecamylamine	7.92044339231612	0.493866579728582
methenamine	7.96507411001157	0.493866579728582
misoprostol	3.10038772832485	0.493866579728582
olanzapine	-12.0613233770583	NA
paromomycin	-5.01999849101733	NA
pralidoxime	1.29115722902971	0.493866579728582
propylthiouracil	-5.3521295502619	NA
pyridoxine	-7.00337246729478	NA
rivastigmine	-5.77172424912892	NA
levothyroxine	-7.03703107502413	NA
dacarbazine	3.18228143971501	0.493866579728582
fenoprofen	-3.44009868420905	NA
ibutilide	-0.796898040038208	NA
neostigmine	-5.23895506770091	NA
trimethadione	7.83195935180251	0.493866579728582
idelalisib	-2.9789689691312	NA
plerixafor	-1.8995406975209	NA
trametinib	-8.4294977473007	NA
ibrutinib	-4.96800167677233	NA
ponatinib	-9.93797354061721	NA
nintedanib	-5.8060486310712	NA
adapalene	1.78977389208569	0.493866579728582
epirubicin	-22.9807168981481	NA
hexachlorophene	-15.3519826619663	NA
cisplatin	0.455281824550705	0.493866579728582
amifostine	-2.95270126659027	NA
pentoxifylline	3.28190351877834	0.493866579728582
dabrafenib	-38.4995879225483	NA
dyphylline	-4.70031931509121	NA
